awardtitle,awardeffectivedate,awardexpirationdate,awardamount,awardinstrument,minamdletterdate,maxamdletterdate,arraamount,awardid,programofficer,organizationcode,organizationdirectorate,organizationdivision,institutionname,institutioncityname,institutionzipcode,institutionphonenumber,institutionstreetaddress,institutioncountryname,institutionstatename,institutionstatecode
DMREF/Collaborative Research: Designing and Synthesizing Nano-Metallic Materials with Superior Properties,01/01/2016,12/31/2018,307033,Standard Grant,12/21/2015,12/21/2015,,1623051,Alexis Lewis,07030000,Directorate For Engineering,Directorate For Engineering,Texas A&M Engineering Experiment Station,College Station,778454645,9798477635,TEES State Headquarters Bldg.,United States,Texas,TX
"Emergent Physics in Correlated, Spin-orbit Coupled Materials",07/01/2015,05/31/2016,186192,Continuing grant,03/25/2016,03/25/2016,,1621145,Tomasz Durakiewicz,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Illinois at Urbana-Champaign,CHAMPAIGN,618207473,2173332187,SUITE A,United States,Illinois,IL
DISSERTATION RESEARCH: Phylogenomic insights into the origins and evolution of anticoagulants and bloodfeeding in leeches,06/01/2016,05/31/2017,18622,Standard Grant,03/17/2016,03/17/2016,,1601562,Joseph Miller,08010206,Direct For Biological Sciences,Direct For Biological Sciences,American Museum Natural History,New York,100245192,2127695975,Central Park West at 79th St,United States,New York,NY
CAREER: Algorithms for single molecule sequence analysis,01/01/2016,05/31/2019,256106,Continuing grant,03/28/2016,03/28/2016,,1627442,Jennifer Weller,08080000,Direct For Biological Sciences,Direct For Biological Sciences,Johns Hopkins University,Baltimore,212182608,4105168668,3400 N CHARLES ST,United States,Maryland,MD
"DISSERTATION RESEARCH: Comparative ontogeny: dinosaur growth, development, and intraspecific variation",06/01/2016,05/31/2017,15631,Standard Grant,03/28/2016,03/28/2016,,1601315,David Mindell,08010206,Direct For Biological Sciences,Direct For Biological Sciences,American Museum Natural History,New York,100245192,2127695975,Central Park West at 79th St,United States,New York,NY
"2016 Summer School and Dynamical Core Model Intercomparison Project; Boulder, Colorado; June 6-17, 2016",05/01/2016,04/30/2017,20000,Standard Grant,03/04/2016,03/04/2016,,1629819,Anjuli S. Bamzai,06020106,Directorate For Geosciences,Directorate For Geosciences,University of California-Davis,Davis,956186134,5307547700,OR/Sponsored Programs,United States,California,CA
"DISSERTATION RESEARCH: Systematics, host-specificity, and genome evolution of holoparasitic plants: A case study in Orobanche (Orobanchaceae)",07/01/2016,06/30/2018,20344,Standard Grant,03/29/2016,03/29/2016,,1601504,David Mindell,08010206,Direct For Biological Sciences,Direct For Biological Sciences,University of California-Berkeley,BERKELEY,947045940,5106428109,Sponsored Projects Office,United States,California,CA
"Support for U.S. Participants at the 16th International Congress on Catalysis Location: Beijing, China Date: July 3-8, 2016",06/01/2016,11/30/2016,25000,Standard Grant,03/21/2016,03/21/2016,,1602787,Robert McCabe,07020000,Directorate For Engineering,Directorate For Engineering,Lehigh University,Bethlehem,180153005,6107583021,Alumni Building 27,United States,Pennsylvania,PA
"DISSERTATION RESEARCH: Plant defenses in African savannas: testing the effects of induced and associational defenses on plant phenotype, fitness and diversity",06/01/2016,05/31/2018,16380,Standard Grant,03/11/2016,03/11/2016,,1601538,Alan Wilson,08010208,Direct For Biological Sciences,Direct For Biological Sciences,Princeton University,Princeton,085442020,6092583090,Off. of Research & Proj. Admin.,United States,New Jersey,NJ
I-Corps: Three-dimensional nanoelectrodes for non-invasive intracellular electrophysiology,12/01/2015,05/31/2016,50000,Standard Grant,12/02/2015,12/02/2015,,1602438,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Stanford University,Palo Alto,943041212,6507232300,3160 Porter Drive,United States,California,CA
Carolina Dynamics Symposium 2016-2018,01/01/2016,12/31/2018,10076,Continuing grant,12/07/2015,12/07/2015,,1600746,Bruce Kitchens,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Clemson University,CLEMSON,296340001,8646562424,300 BRACKETT HALL,United States,South Carolina,SC
"Symmetry, Integrability, and Special Functions",05/01/2016,04/30/2017,25000,Standard Grant,12/18/2015,12/18/2015,,1604092,Edward Taylor,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Central Florida,ORLANDO,328168005,4078821120,4000 CNTRL FLORIDA BLVD,United States,Florida,FL
Collaborative Research Belmont Forum: VULnerability of Populations under Extreme Scenarios,03/15/2016,02/28/2019,149846,Continuing grant,03/16/2016,03/16/2016,,1624207,Maria L. Uhle,06010000,Directorate For Geosciences,Directorate For Geosciences,Florida Institute of Technology,MELBOURNE,329016975,3216748000,150 W UNIVERSITY BLVD,United States,Florida,FL
I-Corps: Robotic 3D Tumor Technology for High Throughput Drug Screening,03/01/2016,08/31/2016,50000,Standard Grant,02/29/2016,02/29/2016,,1632004,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Akron,Akron,443250001,3309727666,302 Buchtel Common,United States,Ohio,OH
CAREER: Coordinated QoS-Driven Management of Cloud Computing and Storage Resources,10/15/2015,07/31/2019,227184,Continuing grant,01/29/2016,01/29/2016,,1619653,M. Mimi McClure,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Arizona State University,TEMPE,852816011,4809655479,ORSPA,United States,Arizona,AZ
"Workshop: Phosphorus Cycling in Terrestrial Ecosystems: Advancing our fundamental understanding through an improved model-data connection; Spring, 2016; Moab, Utah",02/15/2016,01/31/2017,25000,Standard Grant,02/05/2016,02/05/2016,,1619670,Matthew Kane,08010209,Direct For Biological Sciences,Direct For Biological Sciences,University of Tennessee Knoxville,KNOXVILLE,379960003,8659743466,1 CIRCLE PARK,United States,Tennessee,TN
Collaborative Research: Arctic Horizons: Social Science and the High North,12/15/2015,11/30/2016,60781,Standard Grant,12/16/2015,12/16/2015,,1608662,Anna Kerttula de Echave,06090100,Directorate For Geosciences,Directorate For Geosciences,University of Northern Iowa,Cedar Falls,506140001,3192733217,Office of Sponsored Programs,United States,Iowa,IA
Gravitational Waves from Compact Objects,08/01/2016,07/31/2019,96148,Continuing grant,03/23/2016,03/23/2016,,1607673,Pedro Marronetti,03010000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Texas Tech University,Lubbock,794091035,8067423884,349 Administration Bldg,United States,Texas,TX
EFRI-BioFlex: A Flexible Glucose Fuel Cell,11/01/2015,08/31/2017,957251,Standard Grant,11/15/2015,11/15/2015,,1606406,Usha Varshney,07040000,Directorate For Engineering,Directorate For Engineering,Dartmouth College,HANOVER,037551404,6036463007,OFFICE OF SPONSORED PROJECTS,United States,New Hampshire,NH
EAGER: Investigating Elderly Computer Users' Susceptibility to Phishing,08/21/2015,01/31/2017,109365,Standard Grant,02/01/2016,02/01/2016,,1624149,Deborah Shands,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Colorado School of Mines,Golden,804011887,3032733000,1500 Illinois,United States,Colorado,CO
"RAPID: A Panel Study of Presidentialism and, Democratic Collapse and the Rise of a One-Party State: Turkey at the Crossroads",12/15/2015,11/30/2016,56758,Standard Grant,11/19/2015,11/19/2015,,1602190,Lee Walker,04050000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Pennsylvania State Univ University Park,UNIVERSITY PARK,168027000,8148651372,110 Technology Center Building,United States,Pennsylvania,PA
DISSERTATION RESEARCH: Can the degree of mimicry predict levels of genetic structure among populations? A test using mimetic ground beetles,06/01/2016,05/31/2018,20150,Standard Grant,03/11/2016,03/11/2016,,1601260,George W. Gilchrist,08010207,Direct For Biological Sciences,Direct For Biological Sciences,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
"DISSERTATION RESEARCH: Phylogenomics and biogeography of Vochysia, unraveling its tempo and mode of evolution",06/01/2016,05/31/2018,20069,Standard Grant,03/28/2016,03/28/2016,,1601533,David Mindell,08010206,Direct For Biological Sciences,Direct For Biological Sciences,University of Texas at Austin,Austin,787121532,5124716424,"101 E. 27th Street, Suite 5.300",United States,Texas,TX
RAPID: An Integrated Study of Post-fire Wind and Water Erosion in Western Rangelands,12/01/2015,11/30/2016,46724,Standard Grant,11/24/2015,11/24/2015,,1600816,Richard Yuretich,06030000,Directorate For Geosciences,Directorate For Geosciences,Boise State University,boise,837251135,2084261574,1910 University Drive,United States,Idaho,ID
EAGER: Collaborative: Predictive Maintenance of HVAC Systems using Audio Sensing,03/01/2016,02/28/2017,29819,Standard Grant,03/01/2016,03/01/2016,,1619955,Gurdip Singh,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Florida,GAINESVILLE,326112002,3523923516,1 UNIVERSITY OF FLORIDA,United States,Florida,FL
GOALI: Using Tapered Copolymers to Understand Nanoscale Interfaces within Polymeric Materials and Their Influence on Macroscale Properties,06/01/2016,05/31/2019,401793,Standard Grant,03/01/2016,03/01/2016,,1606364,Andrew J. Lovinger,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Oklahoma State University,Stillwater,740781011,4057449995,101 WHITEHURST HALL,United States,Oklahoma,OK
DISSERTATION RESEARCH: Genomic basis of desert adaptation in rodents,06/01/2016,05/31/2018,20316,Standard Grant,03/21/2016,03/21/2016,,1601827,George W. Gilchrist,08010207,Direct For Biological Sciences,Direct For Biological Sciences,University of California-Berkeley,BERKELEY,947045940,5106428109,Sponsored Projects Office,United States,California,CA
DISSERTATION RESEARCH: How Worker Honey Bees Detect their Colony's Size: Testing the Comb Vibration and Chemical Composition Hypotheses,05/01/2016,04/30/2018,20922,Standard Grant,03/08/2016,03/08/2016,,1600775,Michelle M. Elekonich,08090500,Direct For Biological Sciences,Direct For Biological Sciences,Cornell University,Ithaca,148502820,6072555014,373 Pine Tree Road,United States,New York,NY
PostDoctoral Research Fellowship,07/01/2016,06/30/2020,150000,Fellowship,04/01/2016,04/01/2016,,1606402,Victor Roytburd,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Royer Aaron M,Austin,78751,None,None,United States,Texas,TX
EAGER Germination: From 0 to 2,04/15/2016,03/31/2017,92953,Standard Grant,03/30/2016,03/30/2016,,1628237,Garie A. Fordyce,07040000,Directorate For Engineering,Directorate For Engineering,University of Minnesota-Twin Cities,Minneapolis,554552070,6126245599,200 OAK ST SE,United States,Minnesota,MN
Enforcing Cooperation in Networked Societies,07/01/2015,07/31/2016,19265,Standard Grant,03/11/2016,03/11/2016,,1622789,Nancy A. Lutz,04050000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Pennsylvania State Univ University Park,UNIVERSITY PARK,168027000,8148651372,110 Technology Center Building,United States,Pennsylvania,PA
I-Corps: Dense Flexible Interconnects for Advanced Testing and Integration,02/01/2016,07/31/2016,50000,Standard Grant,01/28/2016,01/28/2016,,1620062,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Georgia Tech Research Corporation,Atlanta,303320420,4048944819,Office of Sponsored Programs,United States,Georgia,GA
CAREER: Practical Oblivious Computation,09/01/2015,05/31/2020,97645,Continuing grant,11/24/2015,11/24/2015,,1601879,Sol J. Greenspan,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Cornell University,Ithaca,148502820,6072555014,373 Pine Tree Road,United States,New York,NY
SEP: Sustainable Housing through Holistic Waste Stream Management and Algal Cultivation,07/01/2015,08/31/2017,956595,Continuing grant,03/11/2016,03/11/2016,,1631953,Sunil Narumalani,04040000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Old Dominion University Research Foundation,Norfolk,235082561,7576834293,4111 Monarch Way,United States,Virginia,VA
Collaborative Research: Designer Glass Ceramics,07/01/2016,06/30/2020,319747,Standard Grant,03/23/2016,03/23/2016,,1600837,Tania Paskova,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Northwestern University,Evanston,602013149,8474913003,1801 Maple Ave.,United States,Illinois,IL
Midwest Several Complex Variables Conference,05/01/2016,04/30/2017,33000,Standard Grant,11/06/2015,11/06/2015,,1600121,Edward Taylor,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Toledo,TOLEDO,436063390,4195302844,"2801 W Bancroft St., MS 944",United States,Ohio,OH
EAGER Germination: Cultivating Creativity and Innovation in Engineering Research through Mindfulness Training,04/15/2016,03/31/2017,99996,Standard Grant,03/30/2016,03/30/2016,,1628916,Garie A. Fordyce,07040000,Directorate For Engineering,Directorate For Engineering,University of Wisconsin-Madison,MADISON,537151218,6082623822,21 North Park Street,United States,Wisconsin,WI
I-Corps: Cloud apps for animals: cutting costs and improving welfare,04/01/2016,09/30/2016,50000,Standard Grant,03/21/2016,03/21/2016,,1634613,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Texas A&M AgriLife Research,College Station,778453000,9794584383,2147 TAMU,United States,Texas,TX
"ASME 2016 Nanoengineering for Medicine and Biology Conference Houston, TX, Feb 21-24, 2016",02/01/2016,07/31/2016,25000,Standard Grant,01/20/2016,01/20/2016,,1606794,carol lucas,07020000,Directorate For Engineering,Directorate For Engineering,William Marsh Rice University,Houston,770051827,7133484820,6100 MAIN ST,United States,Texas,TX
Collaborative Research: Calibrating Shallow Geophysical Techniques to Detect Large Wood Buried in River Corridors,01/01/2016,12/31/2016,8855,Standard Grant,12/21/2015,12/21/2015,,1612983,Justin Lawrence,06030206,Directorate For Geosciences,Directorate For Geosciences,Colorado School of Mines,Golden,804011887,3032733000,1500 Illinois,United States,Colorado,CO
"Air pollution, environmental justice and urban form",01/25/2016,12/31/2016,58857,Continuing grant,02/11/2016,02/11/2016,,1631964,Bruce K. Hamilton,07020000,Directorate For Engineering,Directorate For Engineering,University of Washington,Seattle,981950001,2065434043,4333 Brooklyn Ave NE,United States,Washington,WA
I-Corps: Rapid 3D Extrusion of Synthetic Tumor Microenvironments,02/15/2016,07/31/2016,50000,Standard Grant,02/03/2016,02/03/2016,,1623372,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Illinois at Urbana-Champaign,CHAMPAIGN,618207473,2173332187,SUITE A,United States,Illinois,IL
